connector,total ops,Apps Script implemented ops,owner,squad,status,PR link,test link
adobesign,2,2,TBD,TBD,TBD,,
adp,0,0,TBD,TBD,TBD,,
adyen,0,0,TBD,TBD,TBD,,
airtable,0,0,TBD,TBD,TBD,,
airtable-enhanced,0,0,TBD,TBD,TBD,,
ansible,0,0,TBD,TBD,TBD,,
argocd,0,0,TBD,TBD,TBD,,
asana-enhanced,2,0,TBD,TBD,TBD,,
aws-cloudformation,0,0,TBD,TBD,TBD,,
aws-codepipeline,0,0,TBD,TBD,TBD,,
azure-devops,0,0,TBD,TBD,TBD,,
bamboohr,0,0,TBD,TBD,TBD,,
basecamp,0,0,TBD,TBD,TBD,,
bigcommerce,0,0,TBD,TBD,TBD,,
bigquery,0,0,TBD,TBD,TBD,,
bitbucket,0,0,TBD,TBD,TBD,,
box,0,0,TBD,TBD,TBD,,
braze,0,0,TBD,TBD,TBD,,
brex,0,0,TBD,TBD,TBD,,
caldotcom,0,0,TBD,TBD,TBD,,
calendly,0,0,TBD,TBD,TBD,,
circleci,0,0,TBD,TBD,TBD,,
clickup,0,0,TBD,TBD,TBD,,
coda,0,0,TBD,TBD,TBD,,
concur,0,0,TBD,TBD,TBD,,
confluence,0,0,TBD,TBD,TBD,,
coupa,0,0,TBD,TBD,TBD,,
databricks,0,0,TBD,TBD,TBD,,
datadog,0,0,TBD,TBD,TBD,,
docker-hub,0,0,TBD,TBD,TBD,,
docusign,0,0,TBD,TBD,TBD,,
dropbox,0,0,TBD,TBD,TBD,,
dropbox-enhanced,0,0,TBD,TBD,TBD,,
dynamics365,0,0,TBD,TBD,TBD,,
egnyte,0,0,TBD,TBD,TBD,,
excel-online,0,0,TBD,TBD,TBD,,
expensify,0,0,TBD,TBD,TBD,,
freshdesk,0,0,TBD,TBD,TBD,,
github,0,0,TBD,TBD,TBD,,
github-enhanced,0,0,TBD,TBD,TBD,,
gitlab,0,0,TBD,TBD,TBD,,
gmail,0,0,TBD,TBD,TBD,,
gmail-enhanced,0,0,TBD,TBD,TBD,,
google-admin,0,0,TBD,TBD,TBD,,
google-calendar,0,0,TBD,TBD,TBD,,
google-chat,0,0,TBD,TBD,TBD,,
google-contacts,0,0,TBD,TBD,TBD,,
google-docs,0,0,TBD,TBD,TBD,,
google-drive,0,0,TBD,TBD,TBD,,
google-forms,0,0,TBD,TBD,TBD,,
google-meet,0,0,TBD,TBD,TBD,,
google-sheets-enhanced,0,0,TBD,TBD,TBD,,
